node,num_cpus,num_gpus,CPU_GEN,GPU_SKU,IB,CPU_FRQ,GPU_GEN,CLASS,CPU_SKU,CPU_MNF,GPU_MEM,GPU_CC,GPU_BRD
sh02-01n61,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n62,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n63,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n64,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n65,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n66,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n67,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n68,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n69,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n70,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n71,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-01n72,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n01,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n02,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n03,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n04,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n05,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n06,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n07,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n08,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n09,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n11,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n12,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n13,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n14,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n15,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n16,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n17,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n18,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n19,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n20,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n21,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n22,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n23,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n24,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n25,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n26,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n27,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n28,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n29,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n30,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n31,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n32,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n49,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n50,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n51,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n52,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n53,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n54,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n55,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n56,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n57,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n58,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
sh02-02n59,20,0,BGM,,NDR,2.25GHz,,SH4_CSCALE,9754,AMD,,,
